term,estimate,std.error,robust.se,statistic,p.value,model,outcome
clusterMOD,-1.0160047055671735,0.0019114050513688503,0.1421322844671026,-7.148303493301932,8.785690259197771e-13,m0,mortstat
clusterSIDD,-0.7718399953385207,0.0029878577741956117,0.18981266766488067,-4.066324997345408,4.7760319704547006e-5,m0,mortstat
clusterSIRD,-0.6393397317143173,0.0024745542138577842,0.20015765983979308,-3.1941806884934967,0.0014022831861826533,m0,mortstat
clusterMOD,-0.13827628153217228,0.0022228764827506194,0.16312289761146548,-0.8476816164799,0.39661530710168247,m1,mortstat
clusterSIDD,-0.14838648196824145,0.003086513043756417,0.21385223847714288,-0.693873877705991,0.48776130682895275,m1,mortstat
clusterSIRD,0.1165851843986634,0.0026275362223689694,0.1901437225432005,0.6131424316265573,0.539782165869931,m1,mortstat
dm_age,0.07350152657959884,9.588112235480711e-5,0.006010540689653418,12.228771149677902,2.182147863606653e-34,m1,mortstat
clusterMOD,-0.11924728849275038,0.002228618959884573,0.16416070520729456,-0.7264058005974718,0.46759003626308504,m2,mortstat
clusterSIDD,-0.14257610693595227,0.003090207988654081,0.21419776223221781,-0.6656283681497172,0.5056486693985509,m2,mortstat
clusterSIRD,0.11634691589656757,0.002634501133856208,0.1935097616260177,0.6012457196935771,0.547676336999323,m2,mortstat
gender,-0.31579270280540944,0.0016258305532686021,0.11341004019628091,-2.7845215666872263,0.005360675597378696,m2,mortstat
dm_age,0.0765807233358047,9.835451770562746e-5,0.006269389717522913,12.215020406493789,2.5843662359449456e-34,m2,mortstat
clusterMOD,-1.2089786906140216,0.0040638320306397475,0.29944252692857926,-4.037431499842967,5.403961679825738e-5,m0,mortality_heart
clusterSIDD,-0.5381613847400878,0.0053766393262984595,0.34680812481641987,-1.551755412376683,0.12072075832717032,m0,mortality_heart
clusterSIRD,-0.7427875650882769,0.005141819836485864,0.40121832107953204,-1.851330126425201,0.06412207454154613,m0,mortality_heart
clusterMOD,-0.2078991629891472,0.004665873542462177,0.32268676653416295,-0.6442754539397476,0.5193968297608139,m1,mortality_heart
clusterSIDD,0.1488905626021002,0.005579653580861423,0.3700157196874617,0.40238983016143864,0.6873971533266944,m1,mortality_heart
clusterSIRD,0.09929657216765357,0.005421349066821407,0.4144698650411083,0.23957488961906812,0.8106598331007854,m1,mortality_heart
dm_age,0.08451638051039735,1.943573992411731e-4,0.01263833282832161,6.687304540754151,2.273185162433287e-11,m1,mortality_heart
clusterMOD,-0.15069442778305847,0.004687641126704538,0.32363221802490044,-0.4656348144283458,0.641476918735903,m2,mortality_heart
clusterSIDD,0.17335682710664135,0.005595929258327773,0.36264949551615905,0.4780285902780661,0.6326298561449535,m2,mortality_heart
clusterSIRD,0.10751031948292385,0.005446657808318426,0.4280146942603179,0.25118371150485835,0.8016720772849004,m2,mortality_heart
gender,-0.7800743520111868,0.0034840659314037308,0.22780426977099685,-3.424318397523306,6.163436270543841e-4,m2,mortality_heart
dm_age,0.09304908021660925,2.0344688766488157e-4,0.013431018528260041,6.927924343252585,4.270600134714572e-12,m2,mortality_heart
clusterMOD,-0.7204603428612303,0.004230797956162736,0.29639810649611237,-2.4307184393928645,0.015068919583694693,m0,mortality_malignant_neoplasms
clusterSIDD,-0.7141917175835177,0.0072431325831203925,0.4836543835240909,-1.4766571789955538,0.13976755609467925,m0,mortality_malignant_neoplasms
clusterSIRD,-0.07950150269178767,0.004867273132162279,0.34863393826303224,-0.228037187337185,0.8196173307197674,m0,mortality_malignant_neoplasms
clusterMOD,-0.05871591922457333,0.004935552181195928,0.3284661903292351,-0.17875787814179586,0.8581278208382394,m1,mortality_malignant_neoplasms
clusterSIDD,-0.21600929155743906,0.007478148205270846,0.4982534717829184,-0.43353293813384824,0.6646276423367838,m1,mortality_malignant_neoplasms
clusterSIRD,0.4881205104037947,0.005273701675682922,0.35640258311333883,1.3695762419560482,0.17081922009788197,m1,mortality_malignant_neoplasms
dm_age,0.05398805710920704,2.0955648917310476e-4,0.010799178386542117,4.9992744981865185,5.75464296407691e-7,m1,mortality_malignant_neoplasms
clusterMOD,-0.02676330559777253,0.004950459991519377,0.33145342018357415,-0.08074529924280094,0.9356445108183693,m2,mortality_malignant_neoplasms
clusterSIDD,-0.2168576299763458,0.007487465868715583,0.497153105187869,-0.4361988846361476,0.662692437109094,m2,mortality_malignant_neoplasms
